accountno,trans_date,ref_code,ref_no,amount,timestamp,tag,reading,consumption,sequence,custno
"1411202002",01/03/2025,"04","6995742",-183.00,/  /,"W",0,0,184862,2002
"1411202002",01/03/2025,"15","6995742",-4.75,/  /,"F",0,0,184863,2002
"1411201948",01/03/2025,"04","6995743",-529.50,/  /,"W",0,0,184864,1948
"1411201948",01/03/2025,"15","6995743",-10.50,/  /,"F",0,0,184865,1948
"0711202369",01/03/2025,"04","6898838",-99.00,/  /,"W",0,0,184866,2369
"0711202369",01/03/2025,"15","6898838",-3.00,/  /,"F",0,0,184867,2369
"1411202085",01/03/2025,"04","6995744",-171.00,/  /,"W",0,0,184868,2085
"1411202085",01/03/2025,"15","6995744",-4.50,/  /,"F",0,0,184869,2085
"1011200513",01/03/2025,"04","6995745",-345.00,/  /,"W",0,0,184870,513
"1011200513",01/03/2025,"15","6995745",-7.75,/  /,"F",0,0,184871,513
"1311200934",01/03/2025,"04","6995746",-111.00,/  /,"W",0,0,184872,934
"1311200934",01/03/2025,"15","6995746",-3.00,/  /,"F",0,0,184873,934
"0311200152",01/03/2025,"72","25-01-000001",0.00,/  /,"C",62,0,184873,152
"1011200626",01/03/2025,"04","6995747",-150.00,/  /,"W",0,0,184875,626
"1011200626",01/03/2025,"15","6995747",-2.75,/  /,"F",0,0,184876,626
"1211201176",01/03/2025,"04","6995748",-486.00,/  /,"W",0,0,184877,1176
"1211201176",01/03/2025,"15","6995748",-11.75,/  /,"F",0,0,184878,1176
"1411202057",01/03/2025,"04","6995749",-75.00,/  /,"W",0,0,184879,2057
"1411202057",01/03/2025,"15","6995749",-1.50,/  /,"F",0,0,184880,2057
"0611202181",01/03/2025,"04","6995750",-171.00,/  /,"W",0,0,184881,2181
"0611202181",01/03/2025,"15","6995750",-4.50,/  /,"F",0,0,184882,2181
"0311200152",01/03/2025,"04","6898839",-75.00,/  /,"W",0,0,184883,152
"0311200152",01/03/2025,"15","6898839",-1.25,/  /,"F",0,0,184884,152
"0411201314",01/03/2025,"04","6898840",-387.00,/  /,"W",0,0,184885,1314
"0411201314",01/03/2025,"15","6898840",-9.75,/  /,"F",0,0,184886,1314
"1411201984",01/03/2025,"04","6996601",-498.00,/  /,"W",0,0,184887,1984
"1411201984",01/03/2025,"15","6996601",-12.00,/  /,"F",0,0,184888,1984
"0511202302",01/03/2025,"04","6898841",-75.00,/  /,"W",0,0,184898,2302
"0511202302",01/03/2025,"15","6898841",-2.75,/  /,"F",0,0,184899,2302
"1111201838",01/03/2025,"04","6898842",-150.00,/  /,"W",0,0,184900,1838
"1111201838",01/03/2025,"15","6898842",-2.00,/  /,"F",0,0,184901,1838
"0311200145",01/03/2025,"04","6898843",-75.00,/  /,"W",0,0,184902,145
"0311200145",01/03/2025,"15","6898843",-2.50,/  /,"F",0,0,184903,145
"0311200128",01/03/2025,"04","6898844",-75.00,/  /,"W",0,0,184906,128
"0311200128",01/03/2025,"15","6898844",-1.50,/  /,"F",0,0,184907,128
"0111201086",01/06/2025,"04","6898845",-394.50,/  /,"W",0,0,184908,1086
"0111201086",01/06/2025,"15","6898845",-10.25,/  /,"F",0,0,184909,1086
"0811200351",01/06/2025,"04","6994459",-75.00,/  /,"W",0,0,184910,351
"1311200909",01/06/2025,"04","6898846",-513.00,/  /,"W",0,0,184911,909
"1311200909",01/06/2025,"15","6898846",-10.50,/  /,"F",0,0,184912,909
"0811200238",01/06/2025,"04","6994460",-75.00,/  /,"W",0,0,184913,238
"0811200238",01/06/2025,"15","6994460",-2.50,/  /,"F",0,0,184914,238
"1311200997",01/06/2025,"04","6898847",-235.50,/  /,"W",0,0,184915,997
"1311200997",01/06/2025,"15","6898847",-5.75,/  /,"F",0,0,184916,997
"1111201819",01/06/2025,"04","6994461",-75.00,/  /,"W",0,0,184917,1819
"1111201819",01/06/2025,"15","6994461",-2.25,/  /,"F",0,0,184918,1819
"1411201902",01/06/2025,"04","6994462",-75.00,/  /,"W",0,0,184919,1902
"1411201902",01/06/2025,"15","6994462",-1.00,/  /,"F",0,0,184920,1902
"1411201889",01/06/2025,"04","6994463",-75.00,/  /,"W",0,0,184921,1889
"1411201889",01/06/2025,"15","6994463",-2.25,/  /,"F",0,0,184922,1889
"1011200573",01/06/2025,"04","6994464",-186.00,/  /,"W",0,0,184923,573
"1011200573",01/06/2025,"15","6994464",-5.75,/  /,"F",0,0,184924,573
"0611202170",01/06/2025,"04","6996609",-525.00,/  /,"W",0,0,184925,2170
"0611202170",01/06/2025,"15","6996609",-12.50,/  /,"F",0,0,184926,2170
"1211201166",01/06/2025,"04","6994465",-771.00,/  /,"W",0,0,184927,1166
"1211201166",01/06/2025,"15","6994465",-14.25,/  /,"F",0,0,184928,1166
"1411202033",01/06/2025,"04","6994466",-222.00,/  /,"W",0,0,184929,2033
"1411202033",01/06/2025,"15","6994466",-6.50,/  /,"F",0,0,184930,2033
"1411201912",01/06/2025,"04","6994467",-355.50,/  /,"W",0,0,184931,1912
"1411201912",01/06/2025,"15","6994467",-9.25,/  /,"F",0,0,184932,1912
"1011200580",01/06/2025,"04","6996610",-670.00,/  /,"W",0,0,184933,580
"1011200580",01/06/2025,"15","6996610",-24.00,/  /,"F",0,0,184934,580
"1111201628",01/06/2025,"04","6996611",-75.00,/  /,"W",0,0,184935,1628
"1111201628",01/06/2025,"15","6996611",-1.50,/  /,"F",0,0,184936,1628
"1113201740",01/06/2025,"04","6996612",-100.00,/  /,"W",0,0,184937,1740
"1113201740",01/06/2025,"15","6996612",-1.00,/  /,"F",0,0,184938,1740
"0811200294",01/06/2025,"04","6996613",-318.00,/  /,"W",0,0,184939,294
"0811200294",01/06/2025,"15","6996613",-8.50,/  /,"F",0,0,184940,294
"1311202492",01/06/2025,"04","6996614",-75.00,/  /,"W",0,0,184941,2492
"1311202492",01/06/2025,"15","6996614",-1.25,/  /,"F",0,0,184942,2492
"0413201284",01/06/2025,"04","6996615",-1328.00,/  /,"W",0,0,184943,1284
"0413201284",01/06/2025,"15","6996615",-21.50,/  /,"F",0,0,184944,1284
"1011200441",01/06/2025,"04","6996616",-501.00,/  /,"W",0,0,184945,441
"1011200441",01/06/2025,"15","6996616",-12.00,/  /,"F",0,0,184946,441
"0111201028",01/06/2025,"04","6994468",-275.75,/  /,"W",0,0,184947,1028
"1311200912",01/06/2025,"04","6994469",-208.50,/  /,"W",0,0,184948,912
"1311200912",01/06/2025,"15","6994469",-5.25,/  /,"F",0,0,184949,912
"0711200676",01/06/2025,"04","6994470",-75.00,/  /,"W",0,0,184950,676
"0711200676",01/06/2025,"15","6994470",-0.50,/  /,"F",0,0,184951,676
"1311200971",01/06/2025,"04","6994471",-1000.00,/  /,"W",0,0,184952,971
"1411202627",01/06/2025,"04","6996617",-208.50,/  /,"W",0,0,184953,2627
"1411202627",01/06/2025,"15","6996617",-5.25,/  /,"F",0,0,184954,2627
"0711200764",01/06/2025,"04","6994472",-1015.50,/  /,"W",0,0,184955,764
"0711200764",01/06/2025,"15","6994472",-20.75,/  /,"F",0,0,184956,764
"0711200892",01/06/2025,"04","6994473",-1095.00,/  /,"W",0,0,184957,892
"0711200892",01/06/2025,"15","6994473",-18.75,/  /,"F",0,0,184958,892
"0411201384",01/06/2025,"04","6996618",-552.00,/  /,"W",0,0,184959,1384
"0411201384",01/06/2025,"15","6996618",-13.00,/  /,"F",0,0,184960,1384
"0411201374",01/06/2025,"04","6994474",-75.00,/  /,"W",0,0,184961,1374
"0411201374",01/06/2025,"15","6994474",-5.00,/  /,"F",0,0,184962,1374
"0411201366",01/06/2025,"04","6996619",-150.00,/  /,"W",0,0,184963,1366
"0411201366",01/06/2025,"15","6996619",-0.75,/  /,"F",0,0,184964,1366
"0711200803",01/06/2025,"04","6994475",-345.00,/  /,"W",0,0,184965,803
"0711200803",01/06/2025,"15","6994475",-7.75,/  /,"F",0,0,184966,803
"1411202061",01/06/2025,"04","6996620",-393.00,/  /,"W",0,0,184967,2061
"1411202061",01/06/2025,"15","6996620",-10.00,/  /,"F",0,0,184968,2061
"1011200469",01/06/2025,"04","6996621",-262.50,/  /,"W",0,0,184969,469
"1011200469",01/06/2025,"15","6996621",-6.25,/  /,"F",0,0,184970,469
"1211201196",01/06/2025,"04","6996622",-1233.00,/  /,"W",0,0,184971,1196
"1211201196",01/06/2025,"15","6996622",-23.75,/  /,"F",0,0,184972,1196
"1411202037",01/06/2025,"04","6996623",-250.00,/  /,"W",0,0,184973,2037
"0911201463",01/06/2025,"04","6994476",-150.00,/  /,"W",0,0,184974,1463
"0911201463",01/06/2025,"15","6994476",-3.50,/  /,"F",0,0,184975,1463
"0511202408",01/06/2025,"04","6994477",-75.00,/  /,"W",0,0,184978,2408
"0511202408",01/06/2025,"15","6994477",-2.50,/  /,"F",0,0,184979,2408
"0411201339",01/06/2025,"04","6996624",-330.50,/  /,"W",0,0,184980,1339
"0411201339",01/06/2025,"15","6996624",-8.25,/  /,"F",0,0,184981,1339
"1311200959",01/06/2025,"04","6996625",-147.00,/  /,"W",0,0,184982,959
"1311200959",01/06/2025,"15","6996625",-4.00,/  /,"F",0,0,184983,959
"1311200988",01/06/2025,"04","6996626",-159.00,/  /,"W",0,0,184984,988
"1311200988",01/06/2025,"15","6996626",-4.25,/  /,"F",0,0,184985,988
"0811200390",01/06/2025,"04","6996627",-2301.00,/  /,"W",0,0,184986,390
"0811200390",01/06/2025,"15","6996627",-35.50,/  /,"F",0,0,184987,390
"1411201916",01/06/2025,"04","6996628",-174.00,/  /,"W",0,0,184988,1916
"1411201916",01/06/2025,"15","6996628",-4.50,/  /,"F",0,0,184989,1916
"1013200536",01/06/2025,"04","6996629",-1063.00,/  /,"W",0,0,184990,536
"1013200536",01/06/2025,"15","6996629",-15.75,/  /,"F",0,0,184991,536
"1011200633",01/06/2025,"04","6996630",-183.00,/  /,"W",0,0,184992,633
"1011200633",01/06/2025,"15","6996630",-4.75,/  /,"F",0,0,184993,633
"1011202357",01/06/2025,"04","6996631",-323.75,/  /,"W",0,0,184994,2357
"0911201432",01/06/2025,"04","6996632",-316.50,/  /,"W",0,0,184995,1432
"0911201432",01/06/2025,"15","6996632",-7.25,/  /,"F",0,0,184996,1432
"0111201071",01/06/2025,"04","6996633",-538.50,/  /,"W",0,0,184997,1071
"0111201071",01/06/2025,"15","6996633",-12.75,/  /,"F",0,0,184998,1071
"0811200311",01/06/2025,"04","6996634",-262.50,/  /,"W",0,0,184999,311
"0811200311",01/06/2025,"15","6996634",-6.25,/  /,"F",0,0,185000,311
"1211201254",01/06/2025,"04","6996635",-75.00,/  /,"W",0,0,185001,1254
